id,type,x,y,z,equivalence_class,stationary,in_degree,out_degree,undirected_degree,in_degree_norm,out_degree_norm,undirected_degree_norm
0,person,3140.0410380658072,1810.620004103248,26.15944599735657,E0,0.000734057556413893,74,118,103,0.22492401215805471,0.8613138686131386,0.3130699088145897
1,person,8642.359950305925,5193.149907274704,9.480548415798106,E0,0.0008911853151697298,70,92,89,0.2127659574468085,0.6715328467153284,0.270516717325228
2,person,3075.24233409429,2434.7367893923656,30.629216936450977,E0,0.0009823119074751738,86,97,106,0.2613981762917933,0.708029197080292,0.3221884498480243
3,person,2870.022526246092,1166.2873873885171,21.235442112173025,E0,0.0006780414677390204,67,118,97,0.20364741641337386,0.8613138686131386,0.2948328267477204
4,person,1311.5752531897174,7974.72730717351,21.73203464581325,E0,0.0011575015256563533,66,72,78,0.2006079027355623,0.5255474452554745,0.23708206686930092
5,person,8853.002298309442,7630.301917522184,17.083366231413212,E0,0.0008920558951923568,59,85,81,0.17933130699088146,0.6204379562043796,0.24620060790273557
6,person,7624.321719909813,2712.6025397533203,11.423226002092806,E0,0.0009893218868010634,95,113,116,0.2887537993920973,0.8248175182481752,0.3525835866261398
7,person,3232.182038556196,4331.018615287564,43.34757477079215,E0,0.0008200550846198018,101,113,116,0.3069908814589666,0.8248175182481752,0.3525835866261398
8,person,6714.102526880354,8917.020555462746,31.968892898564174,E0,0.0010441979311459934,65,70,79,0.19756838905775076,0.5109489051094891,0.24012158054711247
9,person,9105.350880127004,7411.601264728132,14.173185107651465,E0,0.0008608842838806014,56,82,80,0.1702127659574468,0.5985401459854015,0.24316109422492402
10,person,9011.81961674147,6272.63779665689,10.612305908282728,E0,0.0009359833786355808,57,75,74,0.17325227963525835,0.5474452554744526,0.22492401215805471
11,person,6344.179199403333,1068.4055098532565,14.158954391941384,E0,0.0009977991248238738,93,97,110,0.2826747720364742,0.708029197080292,0.3343465045592705
12,person,5885.803465524994,3815.977280958276,25.202281094160607,E0,0.0010981668478810122,116,83,97,0.3525835866261398,0.6058394160583942,0.2948328267477204
13,person,8647.269262911816,6305.752505900837,13.090424019274291,E0,0.0009846683942905884,67,75,80,0.20364741641337386,0.5474452554744526,0.24316109422492402
14,person,8498.307757474431,7663.707540657716,20.354681448821527,E0,0.0009774559594861066,70,85,86,0.2127659574468085,0.6204379562043796,0.2613981762917933
15,person,8969.874016298761,4831.38668369441,7.189005652385036,E0,0.000819138474757143,64,99,92,0.1945288753799392,0.7226277372262774,0.2796352583586626
16,person,1722.8129214169785,7541.186975253859,27.558573285775044,E0,0.0015118046724945681,73,62,74,0.22188449848024316,0.45255474452554745,0.22492401215805471
17,person,3015.1839131459333,5149.9055148865655,45.652702410444626,E0,0.0008682810882581714,80,101,97,0.24316109422492402,0.7372262773722628,0.2948328267477204
18,person,2124.6873250747,5964.931063841611,42.04840175670811,E0,0.0010528513490386717,76,88,93,0.23100303951367782,0.6423357664233577,0.2826747720364742
