id,type,x,y,z,equivalence_class,stationary,in_degree,out_degree,undirected_degree,in_degree_norm,out_degree_norm,undirected_degree_norm
0,person,3140.0410380658072,1810.620004103248,26.15944599735657,E0,0.0007306730823056437,72,118,103,0.2188449848024316,0.8740740740740741,0.3130699088145897
1,person,8642.359950305925,5193.149907274704,9.480548415798106,E0,0.0009163696893682237,72,86,89,0.2188449848024316,0.6370370370370371,0.270516717325228
2,person,3075.24233409429,2434.7367893923656,30.629216936450977,E0,0.000977099605826467,84,97,106,0.2553191489361702,0.7185185185185186,0.3221884498480243
3,person,2870.022526246092,1166.2873873885171,21.235442112173025,E0,0.0006752761905134923,65,118,97,0.19756838905775076,0.8740740740740741,0.2948328267477204
4,person,1311.5752531897174,7974.72730717351,21.73203464581325,E0,0.0011527896074232833,66,72,78,0.2006079027355623,0.5333333333333333,0.23708206686930092
5,person,8853.002298309442,7630.301917522184,17.083366231413212,E0,0.0008867045666183254,55,85,81,0.16717325227963525,0.6296296296296297,0.24620060790273557
6,person,7624.321719909813,2712.6025397533203,11.423226002092806,E0,0.0009835576766601404,95,113,116,0.2887537993920973,0.837037037037037,0.3525835866261398
7,person,3232.182038556196,4331.018615287564,43.34757477079215,E0,0.0008168052822293427,100,113,116,0.303951367781155,0.837037037037037,0.3525835866261398
8,person,6714.102526880354,8917.020555462746,31.968892898564174,E0,0.0010401532529635724,65,70,79,0.19756838905775076,0.5185185185185185,0.24012158054711247
9,person,9105.350880127004,7411.601264728132,14.173185107651465,E0,0.000857375841970277,55,81,80,0.16717325227963525,0.6,0.24316109422492402
10,person,9011.81961674147,6272.63779665689,10.612305908282728,E0,0.0009554629317214073,61,74,75,0.18541033434650456,0.5481481481481482,0.22796352583586627
11,person,6344.179199403333,1068.4055098532565,14.158954391941384,E0,0.0009885568027160222,89,97,108,0.270516717325228,0.7185185185185186,0.3282674772036474
12,person,5885.803465524994,3815.977280958276,25.202281094160607,E0,0.0010606995638038517,103,83,94,0.3130699088145897,0.6148148148148148,0.2857142857142857
13,person,8647.269262911816,6305.752505900837,13.090424019274291,E0,0.0009786840896874212,64,75,79,0.1945288753799392,0.5555555555555556,0.24012158054711247
14,person,8498.307757474431,7663.707540657716,20.354681448821527,E0,0.0009556737013895356,64,85,85,0.1945288753799392,0.6296296296296297,0.25835866261398177
15,person,8969.874016298761,4831.38668369441,7.189005652385036,E0,0.0008554454464435888,70,97,95,0.2127659574468085,0.7185185185185186,0.2887537993920973
