id,type,x,y,z,equivalence_class,stationary,in_degree,out_degree,undirected_degree,in_degree_norm,out_degree_norm,undirected_degree_norm
0,person,3140.0410380658072,1810.620004103248,26.15944599735657,E0,0.0008937341325474691,104,118,114,0.3291139240506329,0.5756097560975609,0.36075949367088606
1,person,8642.359950305925,5193.149907274704,9.480548415798106,E0,0.0007049634696138316,40,111,85,0.12658227848101267,0.5414634146341464,0.2689873417721519
2,person,3075.24233409429,2434.7367893923656,30.629216936450977,E0,0.0011659075632255375,117,97,110,0.370253164556962,0.47317073170731705,0.34810126582278483
3,person,2870.022526246092,1166.2873873885171,21.235442112173025,E0,0.0008256513802232506,94,118,110,0.2974683544303797,0.5756097560975609,0.34810126582278483
4,person,1311.5752531897174,7974.72730717351,21.73203464581325,E0,0.0012464783555949776,67,72,78,0.2120253164556962,0.35121951219512193,0.2468354430379747
5,person,8853.002298309442,7630.301917522184,17.083366231413212,E0,0.0009597471878265747,58,86,81,0.18354430379746836,0.4195121951219512,0.2563291139240506
6,person,7624.321719909813,2712.6025397533203,11.423226002092806,E0,0.0008266434015338218,59,97,91,0.18670886075949367,0.47317073170731705,0.2879746835443038
7,person,3232.182038556196,4331.018615287564,43.34757477079215,E0,0.0009965745380905216,132,113,116,0.4177215189873418,0.551219512195122,0.3670886075949367
8,person,6714.102526880354,8917.020555462746,31.968892898564174,E0,0.0011804791682833923,87,70,84,0.27531645569620256,0.34146341463414637,0.26582278481012656
9,person,9105.350880127004,7411.601264728132,14.173185107651465,E0,0.0009172370419443217,51,83,73,0.16139240506329114,0.40487804878048783,0.2310126582278481
10,person,9011.81961674147,6272.63779665689,10.612305908282728,E0,0.0007575179992047574,38,100,74,0.12025316455696203,0.4878048780487805,0.23417721518987342
11,person,6344.179199403333,1068.4055098532565,14.158954391941384,E0,0.0010036106576448139,78,96,98,0.2468354430379747,0.4682926829268293,0.310126582278481
12,person,5885.803465524994,3815.977280958276,25.202281094160607,E0,0.00124307751516119,128,83,122,0.4050632911392405,0.40487804878048783,0.3860759493670886
13,person,8647.269262911816,6305.752505900837,13.090424019274291,E0,0.0010086826842717995,55,72,74,0.17405063291139242,0.35121951219512193,0.23417721518987342
14,person,8498.307757474431,7663.707540657716,20.354681448821527,E0,0.0010572353018354214,74,86,89,0.23417721518987342,0.4195121951219512,0.28164556962025317
15,person,8969.874016298761,4831.38668369441,7.189005652385036,E0,0.0006135570049951998,28,124,77,0.08860759493670886,0.6048780487804878,0.24367088607594936
16,person,1722.8129214169785,7541.186975253859,27.558573285775044,E0,0.0016340256974949124,74,62,74,0.23417721518987342,0.3024390243902439,0.23417721518987342
17,person,3015.1839131459333,5149.9055148865655,45.652702410444626,E0,0.0009964195846983413,108,101,97,0.34177215189873417,0.4926829268292683,0.3069620253164557
18,person,2124.6873250747,5964.931063841611,42.04840175670811,E0,0.0011394329249883395,80,88,93,0.25316455696202533,0.4292682926829268,0.29430379746835444
19,person,5831.877993743679,8005.030465614983,33.34127911310237,E0,0.001045153007794032,111,94,102,0.3512658227848101,0.4585365853658537,0.3227848101265823
20,person,142.87917211068702,7292.763358833868,16.628873612022378,E0,0.0010406711672911403,38,68,63,0.12025316455696203,0.33170731707317075,0.19936708860759494
